minimum_nights,number_of_reviews,reviews_per_month,Price
3.0,11.0,0.87,295
2.0,2.0,0.16,70
2.0,0.0,0.0,58
3.0,87.0,4.91,75
5.0,13.0,0.25,38
30.0,3.0,0.21,100
7.0,1.0,1.0,260
1.0,42.0,1.32,147
1.0,0.0,0.0,34
1.0,0.0,0.0,65
30.0,6.0,0.24,125
30.0,0.0,0.0,310
1.0,0.0,0.0,50
1.0,4.0,0.61,79
30.0,1.0,1.0,329
1.0,0.0,0.0,115
3.0,3.0,0.48,140
3.0,95.0,1.51,225
1.0,0.0,0.0,149
2.0,7.0,3.82,50
30.0,0.0,0.0,88
2.0,1.0,0.16,200
14.0,4.0,0.12,160
2.0,51.0,5.03,125
4.0,14.0,0.23,75
2.0,5.0,2.5,80
2.0,1.0,0.02,140
2.0,15.0,1.91,134
10.0,1.0,0.02,65
30.0,7.0,0.12,159
2.0,16.0,5.78,300
1.0,0.0,0.0,95
15.0,0.0,0.0,70
2.0,58.0,0.61,248
1.0,1.0,1.0,750
2.0,3.0,0.12,90
30.0,5.0,0.42,80
7.0,0.0,0.0,85
3.0,3.0,0.08,50
2.0,4.0,0.58,295
14.0,0.0,0.0,80
3.0,0.0,0.0,109
3.0,16.0,0.26,100
2.0,27.0,0.78,45
3.0,38.0,0.62,135
4.0,9.0,3.97,115
5.0,7.0,0.15,185
3.0,3.0,0.48,150
30.0,0.0,0.0,290
1.0,5.0,0.53,80
1.0,26.0,2.52,65
31.0,3.0,0.27,45
1.0,127.0,6.54,80
1.0,5.0,4.05,75
7.0,15.0,0.27,69
4.0,28.0,0.74,65
4.0,0.0,0.0,60
3.0,3.0,0.21,195
15.0,19.0,0.54,69
5.0,2.0,0.09,160
3.0,12.0,0.28,150
1.0,0.0,0.0,250
3.0,0.0,0.0,90
2.0,4.0,4.0,235
1.0,0.0,0.0,100
1.0,0.0,0.0,239
1.0,0.0,0.0,65
3.0,19.0,3.41,115
1.0,30.0,5.45,60
7.0,1.0,0.13,60
14.0,0.0,0.0,45
1.0,2.0,0.05,300
5.0,9.0,0.16,35
4.0,5.0,0.09,69
30.0,5.0,0.11,198
5.0,3.0,0.07,100
2.0,47.0,1.22,60
1.0,0.0,0.0,225
2.0,19.0,0.31,325
2.0,9.0,1.32,350
1.0,0.0,0.0,45
6.0,2.0,0.09,200
4.0,45.0,1.01,100
2.0,64.0,4.92,125
2.0,5.0,0.49,68
5.0,47.0,1.53,115
3.0,2.0,0.17,55
15.0,1.0,0.06,65
5.0,3.0,0.08,300
3.0,52.0,3.2,100
3.0,98.0,2.66,98
1.0,3.0,0.13,100
2.0,0.0,0.0,165
7.0,4.0,0.92,55
1.0,0.0,0.0,149
2.0,6.0,0.13,102
1.0,52.0,1.39,85
1.0,15.0,0.43,89
2.0,26.0,1.6,45
4.0,3.0,0.16,299
30.0,1.0,0.02,130
14.0,88.0,1.03,93
2.0,4.0,0.22,210
3.0,0.0,0.0,200
1.0,34.0,1.67,70
1.0,17.0,1.68,90
1.0,25.0,1.67,140
1.0,2.0,0.05,60
2.0,41.0,0.81,125
1.0,14.0,2.76,49
1.0,1.0,0.09,125
5.0,0.0,0.0,45
1.0,186.0,6.38,65
5.0,0.0,0.0,65
1.0,10.0,0.3,50
1.0,0.0,0.0,49
4.0,4.0,0.07,120
1.0,3.0,0.38,125
1.0,2.0,0.07,150
3.0,32.0,3.58,200
3.0,0.0,0.0,144
4.0,2.0,0.04,135
2.0,80.0,2.35,90
30.0,0.0,0.0,120
2.0,17.0,0.59,160
30.0,0.0,0.0,314
2.0,53.0,2.3,54
3.0,0.0,0.0,50
2.0,1.0,1.0,275
1.0,33.0,4.25,68
1.0,23.0,0.74,50
2.0,4.0,0.12,125
2.0,19.0,1.47,75
1.0,0.0,0.0,100
3.0,18.0,0.39,130
1.0,4.0,0.34,100
3.0,1.0,0.14,270
7.0,6.0,0.45,48
2.0,123.0,3.79,130
3.0,0.0,0.0,200
1.0,2.0,1.09,43
1.0,0.0,0.0,60
4.0,34.0,0.73,130
2.0,11.0,0.21,275
1.0,22.0,0.49,79
1.0,22.0,9.85,48
3.0,38.0,3.21,450
3.0,4.0,0.38,639
2.0,9.0,0.2,40
1.0,4.0,2.31,51
3.0,5.0,0.11,52
1.0,6.0,1.91,65
30.0,0.0,0.0,188
1.0,3.0,0.63,120
2.0,35.0,3.85,58
14.0,1.0,0.03,60
2.0,30.0,0.8,115
1.0,0.0,0.0,199
5.0,4.0,0.11,290
30.0,2.0,0.08,275
1.0,4.0,1.85,60
1.0,1.0,0.26,60
1.0,57.0,4.37,50
1.0,5.0,0.13,75
1.0,15.0,2.02,82
1.0,144.0,4.13,150
3.0,48.0,1.53,99
3.0,4.0,0.62,65
3.0,4.0,0.12,100
4.0,121.0,2.54,72
2.0,6.0,5.0,50
5.0,42.0,1.58,81
2.0,5.0,0.13,120
3.0,0.0,0.0,95
3.0,17.0,0.22,119
4.0,0.0,0.0,220
1.0,71.0,5.5,122
30.0,8.0,0.71,55
30.0,25.0,0.82,218
12.0,4.0,1.38,150
2.0,51.0,0.91,212
4.0,153.0,4.74,69
2.0,18.0,0.81,150
70.0,3.0,0.08,70
3.0,73.0,0.94,235
30.0,1.0,0.09,78
6.0,5.0,2.17,150
1.0,24.0,3.09,89
1.0,0.0,0.0,200
5.0,82.0,1.41,175
1.0,160.0,1.9,80
3.0,22.0,0.98,50
3.0,30.0,2.59,150
2.0,0.0,0.0,75
2.0,35.0,4.32,100
1.0,1.0,0.48,50
2.0,21.0,0.26,135
30.0,3.0,0.26,65
7.0,1.0,0.11,50
3.0,1.0,1.0,390
1.0,10.0,0.21,95
14.0,0.0,0.0,52
2.0,46.0,1.92,162
5.0,46.0,1.55,45
1.0,0.0,0.0,79
9.0,7.0,0.15,60
3.0,164.0,2.34,76
1.0,280.0,3.51,99
2.0,3.0,0.07,45
2.0,13.0,0.3,144
30.0,4.0,0.23,130
1.0,1.0,0.02,89
2.0,8.0,0.26,125
1.0,34.0,0.48,40
31.0,1.0,0.51,120
3.0,1.0,1.0,160
3.0,10.0,0.79,85
35.0,0.0,0.0,85
1.0,0.0,0.0,80
1.0,57.0,4.76,65
30.0,6.0,1.94,220
1.0,11.0,0.48,75
2.0,5.0,0.14,65
5.0,1.0,0.05,350
30.0,0.0,0.0,499
2.0,5.0,0.25,142
2.0,2.0,0.11,116
2.0,12.0,1.45,60
1.0,2.0,0.06,85
3.0,0.0,0.0,150
2.0,1.0,0.04,69
30.0,0.0,0.0,70
1.0,0.0,0.0,100
31.0,4.0,0.21,190
2.0,5.0,2.88,99
1.0,14.0,1.7,50
7.0,1.0,0.03,100
1.0,89.0,4.01,84
2.0,2.0,0.08,85
3.0,9.0,0.16,100
2.0,13.0,1.53,150
10.0,3.0,0.06,80
1.0,27.0,2.02,50
2.0,5.0,0.11,65
2.0,4.0,0.94,160
2.0,13.0,0.52,149
1.0,54.0,4.34,125
1.0,2.0,0.41,890
7.0,0.0,0.0,69
1.0,62.0,2.58,79
2.0,0.0,0.0,115
3.0,4.0,0.53,180
1.0,2.0,0.17,70
2.0,21.0,1.94,57
3.0,57.0,1.51,199
1.0,5.0,0.22,75
3.0,0.0,0.0,65
3.0,0.0,0.0,250
2.0,1.0,0.07,102
14.0,11.0,0.15,75
3.0,5.0,3.85,550
2.0,1.0,0.09,500
1.0,94.0,5.18,190
30.0,4.0,0.12,110
1.0,1.0,1.0,100
2.0,41.0,2.94,52
2.0,88.0,1.31,250
2.0,41.0,1.18,175
1.0,78.0,2.22,150
5.0,0.0,0.0,99
3.0,0.0,0.0,125
2.0,1.0,0.16,70
14.0,0.0,0.0,49
2.0,5.0,0.11,200
1.0,12.0,0.33,49
2.0,5.0,0.06,75
30.0,1.0,0.23,239
2.0,0.0,0.0,55
1.0,5.0,0.15,55
3.0,89.0,2.53,55
4.0,6.0,0.16,110
1.0,0.0,0.0,2000
3.0,29.0,0.36,59
2.0,31.0,3.31,115
3.0,2.0,0.06,160
13.0,2.0,0.17,37
3.0,13.0,0.22,145
1.0,1.0,0.03,80
21.0,0.0,0.0,82
1.0,6.0,0.71,50
3.0,4.0,0.05,200
2.0,53.0,1.06,160
3.0,44.0,1.4,169
3.0,31.0,0.57,210
2.0,3.0,0.36,525
4.0,6.0,0.22,50
3.0,12.0,0.22,120
1.0,1.0,0.3,84
3.0,6.0,0.46,113
2.0,6.0,0.12,200
10.0,5.0,0.24,150
3.0,1.0,0.26,350
2.0,0.0,0.0,800
1.0,0.0,0.0,159
2.0,2.0,0.15,75
3.0,1.0,1.0,140
2.0,3.0,0.16,55
90.0,0.0,0.0,80
2.0,14.0,0.52,54
3.0,15.0,0.3,350
1.0,5.0,4.69,70
7.0,1.0,0.67,25
2.0,114.0,1.82,155
1.0,19.0,6.63,115
1.0,5.0,0.11,90
1.0,35.0,0.92,50
2.0,119.0,1.93,220
2.0,4.0,4.0,190
1.0,113.0,2.89,49
1.0,4.0,0.17,57
4.0,2.0,0.35,49
3.0,10.0,0.17,900
3.0,5.0,0.43,1500
2.0,52.0,1.11,150
1.0,63.0,2.34,69
3.0,8.0,0.32,110
30.0,4.0,0.07,115
1.0,0.0,0.0,750
2.0,7.0,0.77,95
1.0,71.0,8.99,80
3.0,15.0,0.43,198
7.0,25.0,0.3,95
3.0,10.0,0.4,136
1.0,0.0,0.0,180
3.0,50.0,1.27,130
1.0,6.0,2.77,195
1.0,1.0,0.02,60
1.0,5.0,1.2,185
7.0,15.0,0.41,80
1.0,1.0,0.01,80
5.0,0.0,0.0,175
7.0,9.0,0.75,62
2.0,22.0,1.6,250
1.0,0.0,0.0,275
2.0,37.0,0.88,94
2.0,6.0,0.42,136
2.0,4.0,0.31,95
2.0,61.0,2.14,69
7.0,0.0,0.0,42
3.0,3.0,3.0,320
2.0,28.0,1.34,62
6.0,0.0,0.0,90
1.0,0.0,0.0,190
2.0,3.0,0.24,155
1.0,67.0,1.56,49
1.0,1.0,0.02,60
2.0,14.0,1.99,60
3.0,3.0,0.08,120
30.0,52.0,0.6,139
2.0,29.0,3.27,350
1.0,114.0,1.71,290
7.0,2.0,0.1,45
30.0,3.0,0.45,125
35.0,0.0,0.0,80
6.0,7.0,0.96,149
30.0,0.0,0.0,37
2.0,3.0,3.0,149
2.0,81.0,5.63,112
3.0,0.0,0.0,175
3.0,1.0,0.26,40
5.0,7.0,0.38,221
3.0,0.0,0.0,300
2.0,0.0,0.0,75
2.0,4.0,0.21,195
2.0,11.0,0.93,120
1.0,0.0,0.0,260
2.0,1.0,0.37,150
31.0,6.0,0.27,287
3.0,32.0,3.12,172
4.0,1.0,0.04,47
5.0,55.0,2.02,89
7.0,3.0,0.12,160
30.0,0.0,0.0,48
2.0,3.0,0.05,205
2.0,1.0,0.02,300
10.0,0.0,0.0,115
5.0,1.0,0.01,700
3.0,2.0,0.04,130
3.0,7.0,1.39,42
3.0,51.0,0.79,80
10.0,0.0,0.0,78
30.0,1.0,0.07,100
7.0,0.0,0.0,120
2.0,18.0,1.61,55
2.0,37.0,3.84,225
5.0,0.0,0.0,100
30.0,1.0,0.19,244
26.0,58.0,0.73,75
1.0,143.0,3.96,99
3.0,1.0,0.49,70
4.0,11.0,0.14,200
3.0,107.0,2.16,150
1.0,49.0,0.66,89
2.0,12.0,0.71,225
1.0,4.0,0.2,120
7.0,12.0,0.42,150
4.0,13.0,0.36,105
1.0,3.0,0.07,250
3.0,63.0,1.02,275
1.0,0.0,0.0,100
1.0,0.0,0.0,100
5.0,46.0,2.63,200
3.0,25.0,0.29,160
2.0,12.0,2.67,90
365.0,4.0,1.9,120
4.0,24.0,0.38,200
5.0,17.0,1.36,45
30.0,0.0,0.0,999
2.0,0.0,0.0,125
3.0,1.0,0.07,60
2.0,15.0,2.53,120
1.0,0.0,0.0,41
30.0,0.0,0.0,285
4.0,1.0,0.45,30
1.0,0.0,0.0,125
14.0,18.0,0.35,70
3.0,0.0,0.0,300
1.0,17.0,1.64,85
3.0,0.0,0.0,349
2.0,3.0,0.13,125
30.0,0.0,0.0,300
3.0,49.0,1.98,99
2.0,1.0,0.38,250
7.0,3.0,0.29,75
30.0,3.0,0.13,100
2.0,103.0,3.52,75
8.0,6.0,0.25,95
2.0,7.0,4.04,65
3.0,76.0,1.78,110
3.0,12.0,0.19,158
7.0,35.0,0.61,99
3.0,68.0,2.47,110
1.0,63.0,2.81,120
1.0,0.0,0.0,150
1.0,2.0,0.16,175
2.0,206.0,1.92,65
2.0,0.0,0.0,100
9.0,2.0,0.28,198
5.0,26.0,0.93,59
1.0,3.0,0.06,90
1.0,12.0,7.66,100
1.0,183.0,5.17,100
2.0,13.0,3.42,50
2.0,33.0,3.21,48
1.0,1.0,0.03,60
1.0,0.0,0.0,159
30.0,0.0,0.0,155
2.0,113.0,0.91,85
1.0,2.0,0.1,75
2.0,1.0,0.02,78
5.0,0.0,0.0,225
3.0,2.0,0.76,180
1.0,4.0,0.1,50
30.0,0.0,0.0,481
2.0,200.0,3.92,70
3.0,1.0,0.14,180
20.0,3.0,0.39,65
1.0,134.0,4.96,99
1.0,6.0,0.66,75
2.0,6.0,0.4,260
12.0,27.0,1.19,114
3.0,1.0,1.0,60
1.0,1.0,0.02,100
1.0,5.0,3.85,36
6.0,1.0,0.02,230
2.0,1.0,0.02,250
2.0,10.0,0.54,175
20.0,7.0,0.27,59
1.0,1.0,0.45,100
3.0,2.0,0.19,39
2.0,5.0,0.27,55
30.0,0.0,0.0,136
3.0,2.0,0.97,90
2.0,39.0,1.14,200
5.0,5.0,0.11,140
7.0,1.0,0.1,125
2.0,8.0,2.76,50
30.0,0.0,0.0,170
1.0,7.0,0.7,153
3.0,9.0,0.87,135
1.0,1.0,1.0,86
1.0,10.0,0.14,95
5.0,1.0,0.13,40
4.0,4.0,2.03,325
1.0,31.0,7.69,68
1.0,23.0,1.42,150
1.0,68.0,4.55,90
1.0,32.0,2.02,90
4.0,4.0,0.09,239
1.0,4.0,2.03,100
1.0,1.0,0.02,75
1.0,20.0,2.83,115
1.0,41.0,2.48,30
2.0,1.0,0.91,69
7.0,9.0,0.71,65
29.0,0.0,0.0,165
4.0,17.0,0.85,107
2.0,1.0,0.05,150
30.0,0.0,0.0,225
1.0,34.0,3.07,172
2.0,137.0,3.14,199
30.0,0.0,0.0,154
2.0,0.0,0.0,375
5.0,6.0,1.22,117
1.0,0.0,0.0,123
7.0,3.0,0.12,50
7.0,0.0,0.0,285
1.0,0.0,0.0,100
2.0,1.0,0.71,25
3.0,29.0,1.96,299
2.0,6.0,2.14,175
1.0,7.0,0.35,33
14.0,0.0,0.0,1250
11.0,27.0,0.9,47
5.0,0.0,0.0,100
1.0,0.0,0.0,39
1.0,30.0,1.15,43
4.0,2.0,0.13,275
2.0,8.0,0.22,300
4.0,0.0,0.0,150
2.0,14.0,0.21,88
28.0,49.0,0.53,75
1.0,8.0,5.11,44
2.0,0.0,0.0,125
1.0,8.0,8.0,70
1.0,15.0,0.85,34
3.0,234.0,2.47,80
1.0,6.0,0.8,57
1.0,2.0,2.0,305
3.0,10.0,0.21,150
3.0,7.0,0.31,200
3.0,0.0,0.0,299
1.0,0.0,0.0,65
4.0,30.0,0.65,200
2.0,0.0,0.0,75
2.0,0.0,0.0,50
5.0,12.0,0.7,40
1.0,25.0,2.43,73
1.0,1.0,1.0,200
1.0,165.0,4.64,48
30.0,0.0,0.0,225
